AREAS,SLUG,COLOR,ICON,DESCRIP,TIPO,EVALDIM,INDICADOR,FUENTE,
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Determinantes sociales,Cobertura y calidad,Calidad de la educación y el desarrollo de la primera infancia,Base de datos de indicadores de los ODS de la ONU,Sexo
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Determinantes sociales,Cobertura y calidad,Niños y jóvenes que alcanzan un nivel mínimo de competencia en lectura y matemáticas,Base de datos de indicadores de los ODS de la ONU,"Sexo, educación, tipo de formación"
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Políticas ,Políticas de educación,"Gasto público en educación, total (% del PIB)",Datos abiertos del Banco Mundial (Fuente original: Instituto de Estadística de la UNESCO),N/A
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Políticas ,Políticas de educación,"Ratio alumno-profesor, preescolar",Datos abiertos del Banco Mundial (Fuente original: Instituto de Estadística de la UNESCO),Sexo
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Políticas ,Políticas de educación,"Ratio alumnos-profesor, primaria",Datos abiertos del Banco Mundial (Fuente original: Instituto de Estadística de la UNESCO),Sexo
Educación,educacion,#d46b36,flowbite:book-open-outline,"Considera tanto el acceso como la calidad y los resultados del sistema educativo, desde la educación inicial hasta la terciaria. El nivel educativo está estrechamente vinculado a la salud y a la capacidad de las personas para acceder a información, oportunidades laborales y servicios. Monitorear esta área permite evaluar brechas educativas y el impacto de políticas orientadas a garantizar una educación inclusiva y equitativa.",Políticas ,Políticas de educación,"Ratio alumnos-profesor, secundaria",Datos abiertos del Banco Mundial (Fuente original: Instituto de Estadística de la UNESCO),Sexo
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Proporción de la población urbana que vive en barrios marginales,Base de datos de indicadores de los ODS de la ONU,N/A
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Población en hogares con hacinamiento,CEPALSTAT,"Sexo, quintil de ingreso, urbano/rural"
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Relación entre precio de la vivienda y renta,FMI,N/A
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Población adulta con derechos seguros de tenencia de la tierra con documentación legalmente reconocida,Base de datos de indicadores de los ODS de la ONU,"Sexo (nota: sólo para ambos sexos y femenino, no masculino), Comunidades locales"
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Población adulta con derechos seguros de tenencia de la tierra que percibe sus derechos a la tierra como seguros,Base de datos de indicadores de los ODS de la ONU,"Sexo (nota: sólo para ambos sexos y femenino, no masculino), Comunidades locales"
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Porcentaje medio de la superficie construida de las ciudades que es espacio abierto de uso público para todos,Base de datos de indicadores de los ODS de la ONU,"Edad, sexo y discapacidad"
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Población que utiliza servicios de agua potable gestionados de forma segura,Base de datos de indicadores de los ODS de la ONU y CEPALSTAT,Lugar de residencia (rural/urbano)
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Población que utiliza servicios de saneamiento gestionados de forma segura,Base de datos de indicadores de los ODS de la ONU,Lugar de residencia (rural/urbano)
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Población que utiliza una instalación para lavarse las manos con agua y jabón,Base de datos de indicadores de los ODS de la ONU,Lugar de residencia (rural/urbano)
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Proporción de la población que tiene acceso conveniente al transporte público,Base de datos de indicadores de los ODS de la ONU,Por ciudad
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Individuos que utilizan Internet,Base de datos Banco Mundial ,N/A
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Población sin acceso a internet en el hogar,CEPALSTAT,"Quintiles de ingreso, sexo y área"
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Proporción promedio de la población urbana con acceso conveniente a espacios públicos abiertos,Base de datos de indicadores de los ODS de la ONU,N/A
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Condiciones de vivienda y entorno residencial,Niveles medios anuales de partículas finas,Base de datos de indicadores de los ODS de la ONU,Lugar de residencia (rural/urbano)
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Catástrofes naturales,"Número de muertos, desaparecidos y personas directamente afectadas atribuido a catástrofes por cada 100.000 habitantes",Base de datos de indicadores de los ODS de la ONU,N/A
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Determinantes sociales,Desplazamiento,"Desplazamientos internos causados por conflictos, violencia y catástrofes",Centro de Monitoreo de Desplazamientos Internos (IDMC) Informe Global sobre Desplazamientos Internos (GRID),N/A
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Políticas ,Políticas de suelo,Cantidad de ayuda oficial al desarrollo relacionada con el agua y el saneamiento que forma parte de un plan de gasto coordinado por el gobierno,Base de datos de indicadores de los ODS de la ONU,N/A
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Políticas ,Políticas relacionadas con WASH,Proporción de unidades administrativas locales con políticas y procedimientos establecidos y operativos para la participación de las comunidades locales en la gestión del agua y el saneamiento,Base de datos de indicadores de los ODS de la ONU,N/A
Ambiente físico,ambiente,#61b358,flowbite:home-outline,"Se refiere a las condiciones del entorno donde las personas viven y trabajan: vivienda adecuada, acceso a agua segura y saneamiento, calidad del aire, exposición a riesgos climáticos y acceso a energía limpia y transporte. También incluye aspectos como la seguridad vial y la planificación urbana. Esta área refleja cómo el ambiente físico puede potenciar o limitar la salud y el bienestar.",Políticas ,Políticas relacionadas con emergencia y desastres,Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de catástrofes en consonancia con las estrategias nacionales de reducción del riesgo de catástrofes,Base de datos de indicadores de los ODS de la ONU,N/A
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Género,Índice de desigualdad de género,PNUD,N/A
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Etnicidad,Porcentaje de población indígena por área de residencia,CEPALSTAT,"Sexo, urbano/rural, grupos de edad"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Etnicidad,Índice de lenguas en peligro,Atlas UNESCO de las lenguas del mundo en peligro,N/A
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Migración,Migración neta,Base de datos Banco Mundial ,
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Migración,"Número de refugiados por cada 100.000 habitantes, por país de origen (por 100.000 habitantes)",Base de datos de indicadores de los ODS de la ONU,N/A
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Clase social,Distribución de la población ocupada por grupos ocupacionales,CEPALSTAT,Sexo
